Timestamp,I_Pump_Down,I_Pump_Up,O_PumpUpDown,O_ValvePumpCloseOpen,PumpStrokes
1529500380738,0,0,1,1,3
1529500380838,0,0,1,1,3
1529500380938,0,0,1,1,3
1529500381038,0,0,1,1,3
1529500381139,0,0,1,1,3
1529500381239,0,0,1,1,3
1529500381339,0,0,1,1,3
1529500381439,0,0,1,1,3
1529500381539,0,0,1,1,3
1529500381640,0,0,1,1,3
1529500381740,1,0,0,0,3
1529500381840,1,0,0,0,3
1529500381940,1,0,0,0,3
1529500382040,1,0,0,0,3
1529500382140,1,0,0,0,3
1529500382241,1,0,0,0,3
1529500382341,1,0,0,0,3
1529500382441,1,0,0,0,3
1529500382541,1,0,0,0,3
1529500382641,1,0,0,0,3
1529500382742,1,0,0,0,3
1529500382842,1,0,0,0,3
1529500382942,0,0,0,0,3
1529500383042,0,0,0,0,3
1529500383142,0,0,0,0,3
1529500383242,0,0,0,0,3
1529500383343,0,0,0,0,3
1529500383443,0,0,0,0,3
1529500383544,0,0,0,0,3
1529500383644,0,0,0,0,3
1529500383744,0,0,0,0,3
1529500383845,0,0,0,0,3
1529500383945,0,0,0,0,3
1529500384045,0,0,0,0,3
1529500384145,0,0,0,0,3
1529500384245,0,0,0,0,3
1529500384346,0,0,0,0,3
1529500384446,0,0,0,0,3
1529500384546,0,0,0,0,3
1529500384646,0,0,0,0,3
1529500384746,0,1,1,1,3
1529500384846,0,1,1,1,3
1529500384947,0,1,1,1,3
1529500385047,0,1,1,1,3
1529500385147,0,1,1,1,3
1529500385247,0,0,1,1,3
1529500385347,0,0,1,1,3
1529500385448,0,0,1,1,3
1529500385548,0,0,1,1,3
1529500385648,0,0,1,1,3
1529500385748,0,0,1,1,3
1529500385848,0,0,1,1,3
1529500385948,0,0,1,1,3
1529500386049,0,0,1,1,3
1529500386149,0,0,1,1,3
1529500386249,0,0,1,1,3
1529500386349,0,0,1,1,3
1529500386449,0,0,1,1,3
1529500386550,0,0,1,1,3
1529500386650,0,0,1,1,3
1529500386750,0,0,1,1,3
1529500386850,0,0,1,1,3
1529500386950,0,0,1,1,3
1529500387050,0,0,1,1,3
1529500387151,0,0,1,1,3
1529500387251,0,0,1,1,3
1529500387351,0,0,1,1,3
1529500387451,0,0,1,1,3
1529500387551,0,0,1,1,3
1529500387652,0,0,1,1,3
1529500387752,0,0,1,1,3
1529500387852,0,0,1,1,3
1529500387952,0,0,1,1,3
1529500388052,0,0,1,1,3
1529500388152,0,0,1,1,3
1529500388253,0,0,1,1,3
1529500388353,0,0,1,1,3
1529500388453,0,0,1,1,3
1529500388553,0,0,1,1,3
1529500388653,0,0,1,1,3
1529500388754,0,0,1,1,3
1529500388854,0,0,1,1,3
1529500388954,0,0,1,1,3
1529500389054,0,0,1,1,3
1529500389154,0,0,1,1,3
1529500389254,0,0,1,1,3
1529500389355,0,0,1,1,3
1529500389455,1,0,0,0,3
1529500389555,1,0,0,0,3
1529500389655,1,0,0,0,3
1529500389755,1,0,0,0,3
1529500389856,1,0,0,0,3
1529500389956,1,0,0,0,3
1529500390056,1,0,0,0,3
1529500390156,1,0,0,0,3
1529500390256,1,0,0,0,3
1529500390357,1,0,0,0,3
1529500390457,1,0,0,0,3
1529500390557,0,0,0,0,3
1529500390657,0,0,0,0,3
1529500390757,0,0,0,0,3
1529500390857,0,0,0,0,3
1529500390958,0,0,0,0,3
1529500391058,0,0,0,0,3
1529500391158,0,0,0,0,3
1529500391258,0,0,0,0,3
1529500391358,0,0,0,0,3
1529500391459,0,0,0,0,3
1529500391559,0,0,0,0,3
1529500391659,0,0,0,0,3
1529500391759,0,0,0,0,3
1529500391859,0,0,0,0,3
1529500391959,0,0,0,0,3
1529500392060,0,0,0,0,3
1529500392160,0,0,0,0,3
1529500392260,0,0,0,0,3
1529500392360,0,1,1,1,3
1529500392460,0,1,1,1,3
1529500392561,0,1,1,1,3
1529500392661,0,1,1,1,3
1529500392761,0,1,1,1,3
1529500392861,0,1,1,1,3
1529500392961,0,0,1,1,3
1529500393061,0,0,1,1,3
1529500393162,0,0,1,1,3
1529500393262,0,0,1,1,3
1529500393362,0,0,1,1,3
1529500393462,0,0,1,1,3
1529500393562,0,0,1,1,3
1529500393662,0,0,1,1,3
1529500393763,0,0,1,1,3
1529500393863,0,0,1,1,3
1529500393963,0,0,1,1,3
1529500394063,0,0,1,1,3
1529500394163,0,0,1,1,3
1529500394264,0,0,1,1,3
1529500394364,0,0,1,1,3
1529500394464,0,0,1,1,3
1529500394564,0,0,1,1,3
1529500394664,0,0,1,1,3
1529500394765,0,0,1,1,3
1529500394865,0,0,1,1,3
1529500394965,0,0,1,1,3
1529500395065,0,0,1,1,3
1529500395165,0,0,1,1,3
