Timestamp,I_CapGrabberDown,I_CapGrabberUp,I_CapOnConveyor,I_LinAxisDown,I_LinAxisUp
1529500987401,0,1,0,1,0
1529500987501,0,1,0,1,0
1529500987601,0,1,0,1,0
1529500987701,0,1,0,1,0
1529500987802,0,1,0,1,0
1529500987902,0,1,0,1,0
1529500988002,0,1,0,1,0
1529500988102,0,1,0,1,0
1529500988202,0,1,0,1,0
1529500988303,0,1,0,1,0
1529500988403,0,1,0,1,0
1529500988503,0,1,0,1,0
1529500988603,0,1,0,1,0
1529500988703,0,1,0,1,0
1529500988804,0,1,0,1,0
1529500988904,0,1,0,1,0
1529500989004,0,1,0,1,0
1529500989104,0,1,0,1,0
1529500989204,0,1,0,1,0
1529500989304,0,1,0,1,0
1529500989405,0,1,0,1,0
1529500989505,0,1,0,1,0
1529500989605,0,1,0,1,0
1529500989705,0,1,0,1,0
1529500989805,0,1,0,1,0
1529500989906,0,1,0,1,0
1529500990006,0,1,0,1,0
1529500990106,0,1,0,1,0
1529500990206,0,1,0,1,0
1529500990306,0,1,0,1,0
1529500990407,0,1,0,1,0
1529500990507,0,1,0,1,0
1529500990607,0,1,0,1,0
1529500990707,0,1,0,1,0
1529500990807,0,1,0,1,0
1529500990908,0,1,0,1,0
1529500991008,0,1,0,1,0
1529500991108,0,1,0,1,0
1529500991208,0,1,0,1,0
1529500991308,0,1,0,1,0
1529500991408,0,1,0,1,0
1529500991509,0,1,0,1,0
1529500991609,0,1,0,1,0
1529500991709,0,1,0,1,0
1529500991809,0,1,0,1,0
1529500991909,0,1,0,1,0
1529500992009,0,1,0,1,0
1529500992110,0,1,0,1,0
1529500992210,0,1,0,1,0
1529500992310,0,1,0,1,0
1529500992410,0,1,0,1,0
1529500992510,0,1,0,1,0
1529500992611,0,1,0,1,0
1529500992711,0,1,0,1,0
1529500992811,0,1,0,1,0
1529500992913,0,1,0,1,0
1529500993013,0,1,0,1,0
1529500993114,0,1,0,1,0
1529500993214,0,1,0,1,0
1529500993314,0,1,0,1,0
1529500993414,0,1,0,1,0
1529500993514,0,1,0,1,0
1529500993615,0,1,0,1,0
1529500993715,0,1,0,1,0
1529500993815,0,1,0,1,0
1529500993915,0,1,0,1,0
1529500994015,0,1,0,1,0
1529500994115,0,1,0,1,0
1529500994216,0,1,0,1,0
1529500994316,0,1,0,1,0
1529500994416,0,1,0,1,0
1529500994516,0,1,0,1,0
1529500994616,0,1,0,1,0
1529500994717,0,1,0,1,0
1529500994817,0,1,0,1,0
1529500994917,0,1,0,1,0
1529500995017,0,1,0,1,0
1529500995117,0,1,0,1,0
1529500995218,0,1,0,1,0
1529500995318,0,1,0,1,0
1529500995418,0,1,0,1,0
1529500995518,0,1,0,1,0
1529500995618,0,1,0,1,0
1529500995718,0,1,0,1,0
1529500995819,0,1,0,1,0
1529500995919,0,1,0,1,0
1529500996019,0,1,0,1,0
1529500996119,0,1,0,1,0
1529500996219,0,1,0,1,0
1529500996320,0,1,0,1,0
1529500996420,0,1,0,1,0
1529500996520,0,1,0,1,0
1529500996620,0,1,0,1,0
1529500996720,0,1,0,1,0
1529500996821,0,1,0,1,0
1529500996921,0,1,0,1,0
1529500997021,0,1,0,1,0
1529500997121,0,1,0,1,0
1529500997221,0,1,0,1,0
1529500997322,0,1,0,1,0
1529500997422,0,1,0,1,0
1529500997522,0,1,0,1,0
1529500997622,0,1,0,1,0
1529500997722,0,1,0,1,0
1529500997822,0,1,0,1,0
1529500997923,0,1,0,1,0
1529500998023,0,1,0,1,0
1529500998123,0,1,0,1,0
1529500998223,0,1,0,1,0
1529500998323,0,1,0,1,0
1529500998424,0,1,0,1,0
1529500998524,0,1,0,1,0
1529500998624,0,1,0,1,0
1529500998724,0,1,0,1,0
1529500998824,0,1,0,1,0
1529500998925,0,1,0,1,0
1529500999025,0,1,0,1,0
1529500999125,0,1,0,1,0
1529500999225,0,1,0,1,0
1529500999325,0,1,0,1,0
1529500999426,0,1,0,1,0
1529500999527,0,1,0,1,0
1529500999629,0,1,0,1,0
1529500999731,0,1,0,1,0
1529500999831,0,1,0,1,0
1529500999932,0,1,0,1,0
1529501000032,0,1,0,1,0
1529501000132,0,1,0,1,0
1529501000232,0,1,0,1,0
1529501000332,0,1,0,1,0
1529501000433,0,1,0,1,0
1529501000533,0,1,0,1,0
1529501000633,0,1,0,1,0
1529501000733,0,1,0,1,0
1529501000833,0,1,0,1,0
1529501000933,0,1,0,1,0
1529501001034,0,1,0,1,0
1529501001134,0,1,0,1,0
1529501001234,0,1,0,1,0
1529501001334,0,1,0,1,0
1529501001434,0,1,0,1,0
1529501001535,0,1,0,1,0
1529501001635,0,1,0,1,0
1529501001735,0,1,0,1,0
1529501001835,0,1,0,1,0
1529501001935,0,1,0,1,0
1529501002036,0,1,0,1,0
1529501002136,0,1,0,1,0
1529501002236,0,1,0,1,0
1529501002336,0,1,0,1,0
1529501002436,0,1,0,1,0
1529501002536,0,1,0,1,0
1529501002637,0,1,0,1,0
1529501002737,0,1,0,1,0
1529501002837,0,1,0,1,0
1529501002937,0,1,0,1,0
1529501003037,0,1,0,1,0
1529501003138,0,1,0,1,0
1529501003238,0,1,0,1,0
1529501003338,0,1,0,1,0
1529501003438,0,1,0,1,0
1529501003538,0,1,0,1,0
1529501003638,0,1,0,1,0
1529501003739,0,1,0,1,0
1529501003839,0,1,0,1,0
1529501003939,0,1,0,1,0
1529501004039,0,1,0,1,0
1529501004139,0,1,0,1,0
1529501004240,0,1,0,1,0
1529501004340,0,1,0,1,0
1529501004440,0,1,0,1,0
1529501004540,0,1,0,1,0
1529501004640,0,1,0,1,0
1529501004741,0,1,0,1,0
1529501004841,0,1,0,1,0
1529501004941,0,1,0,1,0
1529501005041,0,1,0,1,0
1529501005141,0,1,0,1,0
1529501005242,0,1,0,1,0
1529501005342,0,1,0,1,0
1529501005442,0,1,0,1,0
1529501005542,0,1,0,1,0
1529501005642,0,1,0,1,0
1529501005742,0,1,0,1,0
1529501005843,0,1,0,1,0
1529501005943,0,1,0,1,0
1529501006043,0,1,0,1,0
1529501006145,0,1,0,1,0
1529501006245,0,1,0,1,0
1529501006348,0,1,0,1,0
1529501006448,0,1,0,1,0
1529501006548,0,1,0,1,0
1529501006648,0,1,0,1,0
1529501006748,0,1,0,1,0
1529501006849,0,1,0,1,0
1529501006949,0,1,0,1,0
1529501007049,0,1,0,1,0
1529501007149,0,1,0,1,0
1529501007249,0,1,0,1,0
1529501007350,0,1,0,1,0
1529501007450,0,1,0,1,0
1529501007550,0,1,0,1,0
1529501007650,0,1,0,1,0
1529501007750,0,1,0,1,0
1529501007850,0,1,0,1,0
1529501007951,0,1,0,1,0
1529501008051,0,1,0,1,0
1529501008151,0,1,0,1,0
1529501008251,0,1,0,1,0
1529501008351,0,1,0,1,0
1529501008452,0,1,0,1,0
1529501008552,0,1,0,1,0
1529501008652,0,1,0,1,0
1529501008752,0,1,0,1,0
1529501008852,0,1,0,1,0
1529501008953,0,1,0,1,0
1529501009053,0,1,0,1,0
1529501009153,0,1,0,1,0
1529501009253,0,1,0,1,0
1529501009353,0,1,0,1,0
1529501009454,0,1,0,1,0
1529501009554,0,1,0,1,0
1529501009654,0,1,0,1,0
1529501009754,0,1,0,1,0
1529501009854,0,1,0,1,0
1529501009955,0,1,0,1,0
1529501010055,0,1,0,1,0
1529501010155,0,1,0,1,0
1529501010255,0,1,0,1,0
1529501010355,0,1,0,1,0
1529501010456,0,1,0,1,0
1529501010556,0,1,0,1,0
1529501010656,0,1,0,1,0
1529501010756,0,1,0,1,0
1529501010856,0,1,0,1,0
1529501010957,0,1,0,1,0
1529501011057,0,1,0,1,0
1529501011157,0,1,0,1,0
1529501011257,0,1,0,1,0
1529501011357,0,1,0,1,0
1529501011458,0,1,0,1,0
1529501011558,0,1,0,1,0
1529501011658,0,1,0,1,0
1529501011758,0,1,0,1,0
1529501011859,0,1,0,1,0
1529501011960,0,1,0,1,0
1529501012060,0,1,0,1,0
1529501012160,0,1,0,1,0
1529501012260,0,1,0,1,0
1529501012360,0,1,0,1,0
1529501012461,0,1,0,1,0
1529501012561,0,1,0,1,0
1529501012661,0,1,0,1,0
1529501012761,0,1,0,1,0
1529501012861,0,1,0,1,0
1529501012962,0,1,0,1,0
1529501013062,0,1,0,1,0
1529501013162,0,1,0,1,0
1529501013262,0,1,0,1,0
1529501013362,0,1,0,1,0
1529501013463,0,1,0,1,0
1529501013563,0,1,0,1,0
1529501013663,0,1,0,1,0
1529501013763,0,1,0,1,0
1529501013863,0,1,0,1,0
1529501013963,0,1,0,1,0
1529501014064,0,1,0,1,0
1529501014164,0,1,0,1,0
1529501014264,0,1,0,1,0
1529501014364,0,1,0,1,0
1529501014464,0,1,0,1,0
1529501014565,0,1,0,1,0
1529501014665,0,1,0,1,0
1529501014765,0,1,0,1,0
1529501014865,0,1,0,1,0
1529501014965,0,1,0,1,0
1529501015066,0,1,0,1,0
1529501015166,0,1,0,1,0
1529501015266,0,1,0,1,0
1529501015366,0,1,0,1,0
1529501015466,0,1,0,1,0
1529501015567,0,1,0,1,0
1529501015667,0,1,0,1,0
1529501015767,0,1,0,1,0
1529501015867,0,1,0,1,0
1529501015967,0,1,0,1,0
1529501016068,0,1,0,1,0
1529501016168,0,1,0,1,0
1529501016268,0,1,0,1,0
1529501016368,0,1,0,1,0
1529501016468,0,1,0,1,0
