Timestamp,O_PortionerForward,O_PortionerReverse,O_PortionerSlow,Portions
1529500884756,0,0,0,4
1529500884856,0,0,0,4
1529500884956,0,0,0,4
1529500885056,0,0,0,4
1529500885156,0,0,0,4
1529500885257,0,0,0,4
1529500885357,0,0,0,4
1529500885457,0,0,0,4
1529500885557,0,0,0,4
1529500885657,0,0,0,4
1529500885758,0,0,0,4
1529500885858,0,0,0,4
1529500885958,0,0,0,4
1529500886058,0,0,0,4
1529500886158,0,0,0,4
1529500886259,0,0,0,4
1529500886359,0,0,0,4
1529500886459,0,0,0,4
1529500886559,0,0,0,4
1529500886659,0,0,0,4
1529500886761,0,0,0,4
1529500886861,0,0,0,4
1529500886961,0,0,0,4
1529500887061,0,0,0,4
1529500887161,0,0,0,4
1529500887262,0,0,0,4
1529500887362,0,0,0,4
1529500887462,0,0,0,4
1529500887562,0,0,0,4
1529500887662,0,0,0,4
1529500887762,0,0,0,4
1529500887863,0,0,0,4
1529500887963,0,0,0,4
1529500888063,0,0,0,4
1529500888163,0,0,0,4
1529500888263,0,0,0,4
1529500888363,0,0,0,4
1529500888464,0,0,0,4
1529500888564,0,0,0,4
1529500888664,0,0,0,4
1529500888764,0,0,0,4
1529500888864,0,0,0,4
1529500888965,0,0,0,4
1529500889065,0,0,0,4
1529500889165,0,0,0,4
1529500889265,0,0,0,4
1529500889365,0,0,0,4
1529500889466,0,0,0,4
1529500889566,0,0,0,4
1529500889666,0,0,0,4
1529500889766,0,0,0,4
1529500889866,0,0,0,4
1529500889967,0,0,0,4
1529500890067,0,0,0,4
1529500890167,0,0,0,4
1529500890268,0,0,0,4
1529500890368,0,0,0,4
1529500890471,0,0,0,4
1529500890572,0,0,0,4
1529500890672,0,0,0,4
1529500890772,0,0,0,4
1529500890872,0,0,0,4
1529500890973,0,0,0,4
1529500891073,0,0,0,4
1529500891173,0,0,0,4
1529500891273,0,0,0,4
1529500891373,0,0,0,4
1529500891474,0,0,0,4
1529500891574,0,0,0,4
1529500891674,0,0,0,4
1529500891774,0,0,0,4
1529500891874,0,0,0,4
1529500891974,0,0,0,4
1529500892075,0,0,0,4
1529500892175,0,0,0,4
1529500892275,0,0,0,4
1529500892375,0,0,0,4
1529500892475,0,0,0,4
1529500892576,0,0,0,4
1529500892676,0,0,0,4
1529500892776,0,0,0,4
1529500892876,0,0,0,4
1529500892976,0,0,0,4
1529500893076,0,0,0,4
1529500893177,0,0,0,4
1529500893277,0,0,0,4
1529500893377,0,0,0,4
1529500893477,0,0,0,4
1529500893577,0,0,0,4
1529500893678,0,0,0,4
1529500893778,0,0,0,4
1529500893878,0,0,0,4
1529500893978,0,0,0,4
1529500894078,0,0,0,4
1529500894179,0,0,0,4
1529500894279,0,0,0,4
1529500894379,0,0,0,4
1529500894479,0,0,0,4
1529500894579,0,0,0,4
1529500894680,0,0,0,4
1529500894780,0,0,0,4
1529500894880,0,0,0,4
1529500894980,0,0,0,4
1529500895080,0,0,0,4
1529500895181,0,0,0,4
1529500895281,0,0,0,4
1529500895381,0,0,0,4
1529500895481,0,0,0,4
1529500895581,0,0,0,4
1529500895682,0,0,0,4
1529500895782,0,0,0,4
1529500895882,0,0,0,4
1529500895982,0,0,0,4
1529500896082,0,0,0,4
1529500896182,0,0,0,4
1529500896283,0,0,0,4
1529500896383,0,0,0,4
1529500896483,0,0,0,4
1529500896583,0,0,0,4
1529500896685,0,0,0,4
1529500896787,0,0,0,4
1529500896889,0,0,0,4
1529500896989,0,0,0,4
1529500897089,0,0,0,4
1529500897189,0,0,0,4
1529500897290,0,0,0,4
1529500897390,0,0,0,4
1529500897490,0,0,0,4
1529500897590,0,0,0,4
1529500897690,0,0,0,4
1529500897791,0,0,0,4
1529500897891,0,0,0,4
1529500897991,0,0,0,4
1529500898091,0,0,0,4
1529500898191,0,0,0,4
1529500898292,0,0,0,4
1529500898392,0,0,0,4
1529500898492,0,0,0,4
1529500898592,0,0,0,4
1529500898692,0,0,0,4
1529500898792,0,0,0,4
1529500898893,0,0,0,4
1529500898993,0,0,0,4
1529500899093,0,0,0,4
1529500899193,0,0,0,4
1529500899293,0,0,0,4
1529500899394,0,0,0,4
1529500899494,0,0,0,4
1529500899594,0,0,0,4
1529500899694,0,0,0,4
1529500899794,0,0,0,4
1529500899894,0,0,0,4
1529500899995,0,0,0,4
1529500900095,0,0,0,4
1529500900195,0,0,0,4
1529500900295,0,0,0,4
1529500900395,0,0,0,4
1529500900496,0,0,0,4
1529500900596,0,0,0,4
1529500900696,0,0,0,4
1529500900796,0,0,0,4
1529500900896,0,0,0,4
1529500900997,0,0,0,4
1529500901097,0,0,0,4
1529500901197,0,0,0,4
1529500901297,0,0,0,4
1529500901397,0,0,0,4
1529500901498,0,0,0,4
1529500901598,0,0,0,4
1529500901698,0,0,0,4
1529500901798,0,0,0,4
1529500901898,0,0,0,4
1529500901998,0,0,0,4
1529500902099,0,0,0,4
1529500902199,0,0,0,4
1529500902299,0,0,0,4
1529500902399,0,0,0,4
1529500902499,0,0,0,4
1529500902600,0,0,0,4
1529500902700,0,0,0,4
1529500902800,0,0,0,4
1529500902900,0,0,0,4
1529500903000,0,0,0,4
1529500903101,0,0,0,4
1529500903201,0,0,0,4
1529500903301,0,0,0,4
1529500903401,0,0,0,4
1529500903501,0,0,0,4
1529500903602,0,0,0,4
1529500903702,0,0,0,4
1529500903802,0,0,0,4
1529500903902,0,0,0,4
1529500904002,0,0,0,4
1529500904103,0,0,0,4
1529500904203,0,0,0,4
1529500904303,0,0,0,4
1529500904403,0,0,0,4
1529500904503,0,0,0,4
1529500904603,0,0,0,4
1529500904704,0,0,0,4
1529500904804,0,0,0,4
1529500904904,0,0,0,4
1529500905004,0,0,0,4
1529500905104,0,0,0,4
1529500905205,0,0,0,4
1529500905305,0,0,0,4
1529500905405,0,0,0,4
1529500905505,0,0,0,4
1529500905605,0,0,0,4
1529500905706,0,0,0,4
1529500905806,0,0,0,4
1529500905906,0,0,0,4
1529500906006,0,0,0,4
1529500906106,0,0,0,4
1529500906207,0,0,0,4
1529500906307,0,0,0,4
1529500906407,0,0,0,4
1529500906507,0,0,0,4
1529500906607,0,0,0,4
1529500906707,0,0,0,4
1529500906808,0,0,0,4
1529500906908,0,0,0,4
1529500907008,0,0,0,4
1529500907108,0,0,0,4
1529500907208,0,0,0,4
1529500907309,0,0,0,4
1529500907409,0,0,0,4
1529500907509,0,0,0,4
1529500907609,0,0,0,4
1529500907709,0,0,0,4
1529500907810,0,0,0,4
1529500907910,0,0,0,4
1529500908010,0,0,0,4
1529500908110,0,0,0,4
1529500908210,0,0,0,4
1529500908311,0,0,0,4
1529500908411,0,0,0,4
1529500908511,0,0,0,4
1529500908613,0,0,0,4
1529500908713,0,0,0,4
1529500908816,0,0,0,4
1529500908916,0,0,0,4
1529500909016,0,0,0,4
1529500909116,0,0,0,4
1529500909216,0,0,0,4
1529500909317,0,0,0,4
1529500909417,0,0,0,4
1529500909517,0,0,0,4
1529500909617,0,0,0,4
1529500909717,0,0,0,4
1529500909818,0,0,0,4
1529500909918,0,0,0,4
1529500910018,0,0,0,4
1529500910118,0,0,0,4
1529500910218,0,0,0,4
1529500910318,0,0,0,4
1529500910419,0,0,0,4
1529500910519,0,0,0,4
1529500910619,0,0,0,4
1529500910719,0,0,0,4
1529500910819,0,0,0,4
1529500910920,0,0,0,4
1529500911020,0,0,0,4
1529500911120,0,0,0,4
1529500911220,0,0,0,4
1529500911320,0,0,0,4
1529500911421,0,0,0,4
1529500911521,0,0,0,4
1529500911621,0,0,0,4
1529500911721,0,0,0,4
1529500911821,0,0,0,4
1529500911922,0,0,0,4
1529500912022,0,0,0,4
1529500912122,0,0,0,4
1529500912222,0,0,0,4
1529500912322,0,0,0,4
1529500912423,0,0,0,4
1529500912523,0,0,0,4
1529500912623,0,0,0,4
1529500912723,0,0,0,4
1529500912823,0,0,0,4
1529500912923,0,0,0,4
1529500913024,0,0,0,4
1529500913124,0,0,0,4
1529500913224,0,0,0,4
1529500913324,0,0,0,4
1529500913424,0,0,0,4
1529500913525,0,0,0,4
1529500913625,0,0,0,4
1529500913725,0,0,0,4
1529500913825,0,0,0,4
1529500913925,0,0,0,4
1529500914026,0,0,0,4
1529500914126,0,0,0,4
