Timestamp,CupState,CurrentWeight,EmergencyStop,FanOn,HeatCoverClosed,HeaterOn,HeatingTimePercent,PotAvailable,Produce,ScaleCupDown,ScaleCupUp,SwitchToPot,TrackSwitchAtCup,TrackSwitchAtPot,TurnScaleCup
1516356583090,2,0.584990382194519,1,1,1,1,81,1,0,0,1,1,0,1,0
1516356583200,2,0.646568298339844,1,1,1,1,82,1,0,0,1,1,0,1,0
1516356583309,2,0.584990382194519,1,1,1,1,82,1,0,0,1,1,0,1,0
1516356583419,2,0.584990382194519,1,1,1,1,82,1,0,0,1,1,0,1,0
1516356583528,2,0.584990382194519,1,1,1,1,82,1,0,0,1,1,0,1,0
1516356583637,2,0.646568298339844,1,1,1,1,82,1,0,0,1,1,0,1,0
1516356583747,2,0.615779340267181,1,1,1,1,82,1,0,0,1,1,0,1,0
1516356583856,2,0.554201364517212,1,1,1,1,82,1,0,0,1,1,0,1,0
1516356583965,2,0.584990382194519,1,1,1,1,83,1,0,0,1,1,0,1,0
1516356584075,2,0.615779340267181,1,1,1,1,83,1,0,0,1,1,0,1,0
1516356584184,2,0.615779340267181,1,1,1,1,83,1,0,0,1,1,0,1,0
1516356584294,2,0.523412466049194,1,1,1,1,83,1,0,0,1,1,0,1,0
1516356584403,2,0.584990382194519,1,1,1,1,83,1,0,0,1,1,0,1,0
1516356584512,2,0.615779340267181,1,1,1,1,83,1,0,0,1,1,0,1,0
1516356584622,2,0.584990382194519,1,1,1,1,84,1,0,0,1,1,0,1,0
1516356584731,2,0.584990382194519,1,1,1,1,84,1,0,0,1,1,0,1,0
1516356584841,2,0.615779340267181,1,1,1,1,84,1,0,0,1,1,0,1,0
1516356584950,2,0.615779340267181,1,1,1,1,84,1,0,0,1,1,0,1,0
1516356585059,2,0.584990382194519,1,1,1,1,84,1,0,0,1,1,0,1,0
1516356585169,2,0.584990382194519,1,1,1,1,84,1,0,0,1,1,0,1,0
1516356585278,2,0.615779340267181,1,1,1,1,84,1,0,0,1,1,0,1,0
1516356585387,2,0.554201364517212,1,1,1,1,85,1,0,0,1,1,0,1,0
1516356585497,2,0.584990382194519,1,1,1,1,85,1,0,0,1,1,0,1,0
1516356585606,2,0.615779340267181,1,1,1,1,85,1,0,0,1,1,0,1,0
1516356585716,2,0.584990382194519,1,1,1,1,85,1,0,0,1,1,0,1,0
1516356585825,2,0.584990382194519,1,1,1,1,85,1,0,0,1,1,0,1,0
1516356585934,2,0.554201364517212,1,1,1,1,85,1,0,0,1,1,0,1,0
1516356586044,2,0.584990382194519,1,1,1,1,86,1,0,0,1,1,0,1,0
1516356586153,2,0.646568298339844,1,1,1,1,86,1,0,0,1,1,0,1,0
1516356586262,2,0.584990382194519,1,1,1,1,86,1,0,0,1,1,0,1,0
1516356586372,2,0.584990382194519,1,1,1,1,86,1,0,0,1,1,0,1,0
1516356586481,2,0.615779340267181,1,1,1,1,86,1,0,0,1,1,0,1,0
1516356586591,2,0.584990382194519,1,1,1,1,86,1,0,0,1,1,0,1,0
1516356586700,2,0.584990382194519,1,1,1,1,86,1,0,0,1,1,0,1,0
1516356586809,2,0.615779340267181,1,1,1,1,87,1,0,0,1,1,0,1,0
1516356586919,2,0.646568298339844,1,1,1,1,87,1,0,0,1,1,0,1,0
1516356587028,2,0.646568298339844,1,1,1,1,87,1,0,0,1,1,0,1,0
1516356587138,2,0.615779340267181,1,1,1,1,87,1,0,0,1,1,0,1,0
1516356587247,2,0.584990382194519,1,1,1,1,87,1,0,0,1,1,0,1,0
1516356587356,2,0.523412466049194,1,1,1,1,87,1,0,0,1,1,0,1,0
1516356587466,2,0.615779340267181,1,1,1,1,88,1,0,0,1,1,0,1,0
1516356587575,2,0.584990382194519,1,1,1,1,88,1,0,0,1,1,0,1,0
1516356587684,2,0.615779340267181,1,1,1,1,88,1,0,0,1,1,0,1,0
1516356587794,2,0.554201364517212,1,1,1,1,88,1,0,0,1,1,0,1,0
1516356587903,2,0.554201364517212,1,1,1,1,88,1,0,0,1,1,0,1,0
1516356588013,2,0.584990382194519,1,1,1,1,88,1,0,0,1,1,0,1,0
1516356588122,2,0.584990382194519,1,1,1,1,89,1,0,0,1,1,0,1,0
1516356588231,2,0.615779340267181,1,1,1,1,89,1,0,0,1,1,0,1,0
1516356588341,2,0.554201364517212,1,1,1,1,89,1,0,0,1,1,0,1,0
1516356588450,2,0.554201364517212,1,1,1,1,89,1,0,0,1,1,0,1,0
1516356588560,2,0.554201364517212,1,1,1,1,89,1,0,0,1,1,0,1,0
1516356588669,2,0.584990382194519,1,1,1,1,89,1,0,0,1,1,0,1,0
1516356588778,2,0.523412466049194,1,1,1,1,90,1,0,0,1,1,0,1,0
1516356588888,2,0.615779340267181,1,1,1,1,90,1,0,0,1,1,0,1,0
1516356588997,2,0.584990382194519,1,1,1,1,90,1,0,0,1,1,0,1,0
1516356589106,2,0.584990382194519,1,1,1,1,90,1,0,0,1,1,0,1,0
1516356589216,2,0.646568298339844,1,1,1,1,90,1,0,0,1,1,0,1,0
1516356589325,2,0.584990382194519,1,1,1,1,90,1,0,0,1,1,0,1,0
1516356589435,2,0.523412466049194,1,1,1,1,91,1,0,0,1,1,0,1,0
1516356589544,2,0.584990382194519,1,1,1,1,91,1,0,0,1,1,0,1,0
1516356589653,2,0.646568298339844,1,1,1,1,91,1,0,0,1,1,0,1,0
1516356589763,2,0.615779340267181,1,1,1,1,91,1,0,0,1,1,0,1,0
1516356589872,2,0.615779340267181,1,1,1,1,91,1,0,0,1,1,0,1,0
1516356589982,2,0.584990382194519,1,1,1,1,91,1,0,0,1,1,0,1,0
1516356590091,2,0.584990382194519,1,1,1,1,91,1,0,0,1,1,0,1,0
1516356590200,2,0.584990382194519,1,1,1,1,92,1,0,0,1,1,0,1,0
1516356590310,2,0.584990382194519,1,1,1,1,92,1,0,0,1,1,0,1,0
