Timestamp,SiloFull,SiloMinFull,Aspirator.O_xOn,BeltConveyor.O_xOn,FunnelBlocked
1515158057261,0,1,0,0,0
1515158057361,0,1,0,0,0
1515158057461,0,1,0,0,0
1515158057562,0,1,0,0,0
1515158057662,0,1,0,0,0
1515158057762,0,1,0,0,0
1515158057862,0,1,0,0,0
1515158057962,0,1,0,0,0
1515158058062,0,1,0,0,0
1515158058162,0,1,0,0,0
1515158058262,0,1,0,0,0
1515158058363,0,1,0,0,0
1515158058463,0,1,0,0,0
1515158058563,0,1,0,0,0
1515158058663,0,1,0,0,0
1515158058763,0,1,0,0,0
1515158058863,0,1,0,0,0
1515158058963,0,1,0,0,0
1515158059063,0,1,0,0,0
1515158059164,0,1,0,0,0
1515158059264,0,1,0,0,0
1515158059364,0,1,0,0,0
1515158059464,0,1,0,0,0
1515158059564,0,1,0,0,0
1515158059664,0,1,0,0,0
1515158059764,0,1,0,0,0
1515158059865,0,1,0,0,0
1515158059965,0,1,0,0,0
1515158060065,0,1,0,0,0
1515158060165,0,1,0,0,0
1515158060265,0,1,0,0,0
1515158060365,0,1,0,0,0
1515158060465,0,1,0,0,0
1515158060565,0,1,0,0,0
1515158060666,0,1,0,0,0
1515158060766,0,1,0,0,0
1515158060866,0,1,0,0,0
1515158060966,0,1,0,0,0
1515158061066,0,1,0,0,0
1515158061166,0,1,0,0,0
1515158061266,0,1,0,0,0
1515158061367,0,1,0,0,0
1515158061467,0,1,0,0,0
1515158061567,0,1,0,0,0
1515158061667,0,1,0,0,0
1515158061767,0,1,0,0,0
1515158061867,0,1,0,0,0
1515158061967,0,1,0,0,0
1515158062067,0,1,0,0,0
1515158062168,0,1,0,0,0
1515158062268,0,1,0,0,0
1515158062368,0,1,0,0,0
1515158062468,0,1,0,0,0
1515158062568,0,1,0,0,0
1515158062668,0,1,0,0,0
1515158062768,0,1,0,0,0
1515158062869,0,1,0,0,0
1515158062969,0,1,0,0,0
1515158063069,0,1,0,0,0
1515158063169,0,1,0,0,0
1515158063269,0,1,0,0,0
1515158063369,0,1,0,0,0
1515158063469,0,1,0,0,0
1515158063569,0,1,0,0,0
1515158063670,0,1,0,0,0
1515158063770,0,1,0,0,0
1515158063870,0,1,0,0,0
1515158063970,0,1,0,0,0
1515158064070,0,1,0,0,0
1515158064170,0,1,0,0,0
1515158064270,0,1,0,0,0
1515158064371,0,1,0,0,0
1515158064471,0,1,0,0,0
1515158064571,0,1,0,0,0
1515158064671,0,1,0,0,0
1515158064771,0,1,0,0,0
1515158064871,0,1,0,0,0
1515158064971,0,1,0,0,0
1515158065072,0,1,0,0,0
1515158065172,0,1,0,0,0
1515158065272,0,1,0,0,0
1515158065372,0,1,0,0,0
1515158065472,0,1,0,0,0
1515158065572,0,1,0,0,0
1515158065672,0,1,0,0,0
1515158065773,0,1,0,0,0
1515158065873,0,1,0,0,0
1515158065973,0,1,0,0,0
1515158066073,0,1,0,0,0
1515158066173,0,1,0,0,0
1515158066273,0,1,0,0,0
1515158066373,0,1,0,0,0
1515158066473,0,1,0,0,0
1515158066574,0,1,0,0,0
1515158066674,0,1,0,0,0
1515158066774,0,1,0,0,0
1515158066874,0,1,0,0,0
1515158066974,0,1,0,0,0
1515158067074,0,1,0,0,0
1515158067174,0,1,0,0,0
1515158067274,0,1,0,0,0
1515158067375,0,1,0,0,0
1515158067475,0,1,0,0,0
1515158067575,0,1,0,0,0
1515158067675,0,1,0,0,0
1515158067775,0,1,0,0,0
1515158067875,0,1,0,0,0
1515158067975,0,1,0,0,0
1515158068076,0,1,0,0,0
1515158068176,0,1,0,0,0
1515158068276,0,1,0,0,0
1515158068376,0,1,0,0,0
1515158068476,0,1,0,0,0
1515158068576,0,1,0,0,0
1515158068676,0,1,0,0,0
1515158068777,0,1,0,0,0
1515158068877,0,1,0,0,0
1515158068977,0,1,0,0,0
1515158069077,0,1,0,0,0
1515158069177,0,1,0,0,0
1515158069277,0,1,0,0,0
1515158069377,0,1,0,0,0
1515158069478,0,1,0,0,0
1515158069578,0,1,0,0,0
1515158069678,0,1,0,0,0
1515158069778,0,1,0,0,0
1515158069878,0,1,0,0,0
1515158069978,0,1,0,0,0
1515158070078,0,1,0,0,0
1515158070179,0,1,0,0,0
1515158070279,0,1,0,0,0
1515158070379,0,1,0,0,0
1515158070479,0,1,0,0,0
1515158070579,0,1,0,0,0
1515158070679,0,1,0,0,0
1515158070779,0,1,0,0,0
1515158070880,0,1,0,0,0
1515158070980,0,1,0,0,0
1515158071080,0,1,0,0,0
1515158071180,0,1,0,0,0
1515158071280,0,1,0,0,0
1515158071380,0,1,0,0,0
1515158071480,0,1,0,0,0
1515158071581,0,1,0,0,0
1515158071681,0,1,0,0,0
1515158071781,0,1,0,0,0
1515158071881,0,1,0,0,0
1515158071981,0,1,0,0,0
1515158072081,0,1,0,0,0
1515158072181,0,1,0,0,0
1515158072282,0,1,0,0,0
1515158072382,0,1,0,0,0
1515158072482,0,1,0,0,0
1515158072582,0,1,0,0,0
1515158072682,0,1,0,0,0
1515158072782,0,1,0,0,0
1515158072882,0,1,0,0,0
1515158072983,0,1,0,0,0
1515158073083,0,1,0,0,0
1515158073183,0,1,0,0,0
1515158073284,0,1,0,0,0
1515158073384,0,1,0,0,0
1515158073484,0,1,0,0,0
1515158073584,0,1,0,0,0
1515158073685,0,1,0,0,0
1515158073785,0,1,0,0,0
1515158073885,0,1,0,0,0
1515158073985,0,1,0,0,0
1515158074085,0,1,0,0,0
1515158074185,0,1,0,0,0
1515158074285,0,1,0,0,0
1515158074386,0,1,0,0,0
1515158074486,0,1,0,0,0
1515158074586,0,1,0,0,0
1515158074686,0,1,0,0,0
1515158074786,0,1,0,0,0
1515158074886,0,1,0,0,0
1515158074986,0,1,0,0,0
1515158075087,0,1,0,0,0
1515158075187,0,1,0,0,0
1515158075287,0,1,0,0,0
1515158075387,0,1,0,0,0
1515158075487,0,1,0,0,0
1515158075587,0,1,0,0,0
1515158075687,0,1,0,0,0
1515158075788,0,1,0,0,0
1515158075888,0,1,0,0,0
1515158075988,0,1,0,0,0
1515158076088,0,1,0,0,0
1515158076188,0,1,0,0,0
1515158076288,0,1,0,0,0
1515158076388,0,1,0,0,0
1515158076489,0,1,0,0,0
1515158076589,0,1,0,0,0
1515158076689,0,1,0,0,0
1515158076789,0,1,0,0,0
1515158076889,0,1,0,0,0
1515158076989,0,1,0,0,0
1515158077089,0,1,0,0,0
1515158077189,0,1,0,0,0
1515158077290,0,1,0,0,0
1515158077390,0,1,0,0,0
1515158077490,0,1,0,0,0
1515158077590,0,1,0,0,0
1515158077690,0,1,0,0,0
1515158077790,0,1,0,0,0
1515158077890,0,1,0,0,0
1515158077991,0,1,0,0,0
1515158078091,0,1,0,0,0
1515158078191,0,1,0,0,0
1515158078291,0,1,0,0,0
1515158078391,0,1,0,0,0
1515158078491,0,1,0,0,0
1515158078591,0,1,0,0,0
1515158078692,0,1,0,0,0
1515158078792,0,1,0,0,0
1515158078892,0,1,0,0,0
1515158078992,0,1,0,0,0
1515158079092,0,1,0,0,0
1515158079192,0,1,0,0,0
1515158079292,0,1,0,0,0
1515158079393,0,1,0,0,0
1515158079493,0,1,0,0,0
1515158079593,0,1,0,0,0
1515158079693,0,1,0,0,0
1515158079793,0,1,0,0,0
1515158079893,0,1,0,0,0
1515158079993,0,1,0,0,0
1515158080093,0,1,0,0,0
1515158080194,0,1,0,0,0
1515158080294,0,1,0,0,0
1515158080394,0,1,0,0,0
1515158080494,0,1,0,0,0
1515158080594,0,1,0,0,0
1515158080694,0,1,0,0,0
1515158080794,0,1,0,0,0
1515158080895,0,1,0,0,0
1515158080995,0,1,0,0,0
1515158081095,0,1,0,0,0
1515158081195,0,1,0,0,0
1515158081295,0,1,0,0,0
1515158081395,0,1,0,0,0
1515158081495,0,1,0,0,0
1515158081596,0,1,0,0,0
1515158081696,0,1,0,0,0
1515158081796,0,1,0,0,0
1515158081896,0,1,0,0,0
1515158081996,0,1,0,0,0
1515158082096,0,1,0,0,0
1515158082196,0,1,0,0,0
1515158082297,0,1,0,0,0
1515158082397,0,1,0,0,0
1515158082497,0,1,0,0,0
1515158082597,0,1,0,0,0
1515158082697,0,1,0,0,0
1515158082797,0,1,0,0,0
1515158082897,0,1,0,0,0
1515158082997,0,1,0,0,0
1515158083098,0,1,0,0,0
1515158083198,0,1,0,0,0
1515158083298,0,1,0,0,0
1515158083398,0,1,0,0,0
1515158083498,0,1,0,0,0
1515158083598,0,1,0,0,0
1515158083698,0,1,0,0,0
1515158083799,0,1,0,0,0
1515158083899,0,1,0,0,0
1515158083999,0,1,0,0,0
1515158084099,0,1,0,0,0
1515158084199,0,1,0,0,0
1515158084299,0,1,0,0,0
1515158084399,0,1,0,0,0
1515158084500,0,1,0,0,0
1515158084600,0,1,0,0,0
1515158084700,0,1,0,0,0
1515158084800,0,1,0,0,0
1515158084900,0,1,0,0,0
1515158085000,0,1,0,0,0
1515158085100,0,1,0,0,0
1515158085201,0,1,0,0,0
1515158085301,0,1,0,0,0
1515158085401,0,1,0,0,0
1515158085501,0,1,0,0,0
1515158085601,0,1,0,0,0
1515158085701,0,1,0,0,0
1515158085801,0,1,0,0,0
1515158085902,0,1,0,0,0
1515158086002,0,1,0,0,0
1515158086102,0,1,0,0,0
1515158086202,0,1,0,0,0
1515158086302,0,1,0,0,0
1515158086402,0,1,0,0,0
1515158086502,0,1,0,0,0
1515158086602,0,1,0,0,0
1515158086703,0,1,0,0,0
1515158086803,0,1,0,0,0
1515158086903,0,1,0,0,0
1515158087003,0,1,0,0,0
1515158087103,0,1,0,0,0
1515158087203,0,1,0,0,0
1515158087303,0,1,0,0,0
1515158087403,0,1,0,0,0
1515158087504,0,1,0,0,0
1515158087604,0,1,0,0,0
1515158087704,0,1,0,0,0
1515158087804,0,1,0,0,0
1515158087904,0,1,0,0,0
1515158088004,0,1,0,0,0
1515158088104,0,1,0,0,0
1515158088205,0,1,0,0,0
1515158088305,0,1,0,0,0
1515158088405,0,1,0,0,0
1515158088505,0,1,0,0,0
1515158088605,0,1,0,0,0
1515158088705,0,1,0,0,0
1515158088805,0,1,0,0,0
1515158088905,0,1,0,0,0
1515158089006,0,1,0,0,0
1515158089106,0,1,0,0,0
1515158089206,0,1,0,0,0
1515158089306,0,1,0,0,0
1515158089406,0,1,0,0,0
1515158089506,0,1,0,0,0
1515158089606,0,1,0,0,0
1515158089706,0,1,0,0,0
1515158089807,0,1,0,0,0
1515158089907,0,1,0,0,0
1515158090007,0,1,0,0,0
1515158090107,0,1,0,0,0
1515158090207,0,1,0,0,0
1515158090307,0,1,0,0,0
1515158090407,0,1,0,0,0
1515158090508,0,1,0,0,0
1515158090608,0,1,0,0,0
1515158090708,0,1,0,0,0
1515158090808,0,1,0,0,0
1515158090908,0,1,0,0,0
1515158091008,0,1,0,0,0
1515158091108,0,1,0,0,0
1515158091209,0,1,0,0,0
1515158091309,0,1,0,0,0
1515158091409,0,1,0,0,0
1515158091509,0,1,0,0,0
1515158091609,0,1,0,0,0
1515158091709,0,1,0,0,0
1515158091809,0,1,0,0,0
1515158091909,0,1,0,0,0
1515158092010,0,1,0,0,0
1515158092110,0,1,0,0,0
1515158092210,0,1,0,0,0
1515158092310,0,1,0,0,0
1515158092410,0,1,0,0,0
1515158092510,0,1,0,0,0
1515158092610,0,1,0,0,0
1515158092711,0,1,0,0,0
1515158092811,0,1,0,0,0
1515158092911,0,1,0,0,0
1515158093011,0,1,0,0,0
1515158093111,0,1,0,0,0
1515158093211,0,1,0,0,0
1515158093311,0,1,0,0,0
1515158093412,0,1,0,0,0
1515158093512,0,1,0,0,0
1515158093612,0,1,0,0,0
1515158093712,0,1,0,0,0
1515158093812,0,1,0,0,0
1515158093912,0,1,0,0,0
1515158094012,0,1,0,0,0
1515158094112,0,1,0,0,0
1515158094213,0,1,0,0,0
1515158094313,0,1,0,0,0
1515158094413,0,1,0,0,0
1515158094513,0,1,0,0,0
1515158094613,0,1,0,0,0
1515158094713,0,1,0,0,0
1515158094813,0,1,0,0,0
1515158094913,0,1,0,0,0
1515158095014,0,1,0,0,0
1515158095114,0,1,0,0,0
1515158095214,0,1,0,0,0
1515158095314,0,1,0,0,0
1515158095414,0,1,0,0,0
1515158095514,0,1,0,0,0
1515158095614,0,1,0,0,0
1515158095715,0,1,0,0,0
1515158095815,0,1,0,0,0
1515158095915,0,1,0,0,0
1515158096015,0,1,0,0,0
1515158096115,0,1,0,0,0
1515158096215,0,1,0,0,0
1515158096315,0,1,0,0,0
1515158096416,0,1,0,0,0
1515158096516,0,1,0,0,0
1515158096616,0,1,0,0,0
1515158096716,0,1,0,0,0
1515158096816,0,1,0,0,0
1515158096916,0,1,0,0,0
1515158097016,0,1,0,0,0
1515158097117,0,1,0,0,0
1515158097217,0,1,0,0,0
1515158097317,0,1,0,0,0
1515158097417,0,1,0,0,0
1515158097517,0,1,0,0,0
1515158097617,0,1,0,0,0
1515158097717,0,1,0,0,0
1515158097818,0,1,0,0,0
1515158097918,0,1,0,0,0
1515158098018,0,1,0,0,0
1515158098118,0,1,0,0,0
1515158098218,0,1,0,0,0
1515158098318,0,1,0,0,0
1515158098418,0,1,0,0,0
1515158098519,0,1,0,0,0
1515158098619,0,1,0,0,0
1515158098719,0,1,0,0,0
1515158098819,0,1,0,0,0
1515158098919,0,1,0,0,0
1515158099019,0,1,0,0,0
1515158099119,0,1,0,0,0
1515158099220,0,1,0,0,0
1515158099320,0,1,0,0,0
1515158099420,0,1,0,0,0
1515158099520,0,1,0,0,0
1515158099620,0,1,0,0,0
1515158099720,0,1,0,0,0
1515158099821,0,1,0,0,0
1515158099921,0,1,0,0,0
1515158100021,0,1,0,0,0
1515158100121,0,1,0,0,0
1515158100221,0,1,0,0,0
1515158100321,0,1,0,0,0
1515158100421,0,1,0,0,0
1515158100522,0,1,0,0,0
1515158100622,0,1,0,0,0
1515158100722,0,1,0,0,0
