Timestamp,FunnelBlocked.I_xSignal,StorageSiloFull.I_xSignal,StorageSiloMinFull.I_xSignal,Aspirator.O_xOn,MuscleTrigger.O_xOn,MuscleTrigger.xOn
1515157804480,0,1,1,0,0,0
1515157804580,0,1,1,0,0,0
1515157804680,0,1,1,0,0,0
1515157804781,0,1,1,0,0,0
1515157804881,0,1,1,0,0,0
1515157804981,0,1,1,0,0,0
1515157805081,0,1,1,0,0,0
1515157805181,0,1,1,0,0,0
1515157805281,0,1,1,0,0,0
1515157805381,0,1,1,0,0,0
1515157805481,0,1,1,0,0,0
1515157805582,0,1,1,0,0,0
1515157805682,0,1,1,0,0,0
1515157805782,0,1,1,0,0,0
1515157805882,0,1,1,0,0,0
1515157805982,0,1,1,0,0,0
1515157806082,0,1,1,0,0,0
1515157806182,0,1,1,0,0,0
1515157806283,0,1,1,0,0,0
1515157806383,0,1,1,0,0,0
1515157806483,0,1,1,0,0,0
1515157806583,0,1,1,0,0,0
1515157806683,0,1,1,0,0,0
1515157806783,0,1,1,0,0,0
1515157806883,0,1,1,0,0,0
1515157806983,0,1,1,0,0,0
1515157807084,0,1,1,0,0,0
1515157807184,0,1,1,0,0,0
1515157807284,0,1,1,0,0,0
1515157807384,0,1,1,0,0,0
1515157807484,0,1,1,0,0,0
1515157807584,0,1,1,0,0,0
1515157807684,0,1,1,0,0,0
1515157807785,0,1,1,0,0,0
1515157807885,0,1,1,0,0,0
1515157807985,0,1,1,0,0,0
1515157808085,0,1,1,0,0,0
1515157808185,0,1,1,0,0,0
1515157808285,0,1,1,0,0,0
1515157808385,0,1,1,0,0,0
1515157808485,0,1,1,0,0,0
1515157808586,0,1,1,0,0,0
1515157808686,0,1,1,0,0,0
1515157808786,0,1,1,0,0,0
1515157808886,0,1,1,0,0,0
1515157808986,0,1,1,0,0,0
1515157809086,0,1,1,0,0,0
1515157809186,0,1,1,0,0,0
1515157809286,0,1,1,0,0,0
1515157809387,0,1,1,0,0,0
1515157809487,0,1,1,0,0,0
1515157809587,0,1,1,0,0,0
1515157809687,0,1,1,0,0,0
1515157809787,0,1,1,0,0,0
1515157809887,0,1,1,0,0,0
1515157809987,0,1,1,0,0,0
1515157810088,0,1,1,0,0,0
1515157810188,0,1,1,0,0,0
1515157810288,0,1,1,0,0,0
1515157810388,0,1,1,0,0,0
1515157810488,0,1,1,0,0,0
1515157810588,0,1,1,0,0,0
1515157810688,0,1,1,0,0,0
1515157810789,0,1,1,0,0,0
1515157810889,0,1,1,0,0,0
1515157810989,0,1,1,0,0,0
1515157811089,0,1,1,0,0,0
1515157811189,0,1,1,0,0,0
1515157811289,0,1,1,0,0,0
1515157811389,0,1,1,0,0,0
1515157811489,0,1,1,0,0,0
1515157811590,0,1,1,0,0,0
1515157811690,0,1,1,0,0,0
1515157811790,0,1,1,0,0,0
1515157811890,0,1,1,0,0,0
1515157811990,0,1,1,0,0,0
1515157812090,0,1,1,0,0,0
1515157812190,0,1,1,0,0,0
1515157812290,0,1,1,0,0,0
1515157812391,0,1,1,0,0,0
1515157812491,0,1,1,0,0,0
1515157812591,0,1,1,0,0,0
1515157812691,0,1,1,0,0,0
1515157812791,0,1,1,0,0,0
1515157812891,0,1,1,0,0,0
1515157812991,0,1,1,0,0,0
1515157813091,0,1,1,0,0,0
1515157813192,0,1,1,0,0,0
1515157813292,0,1,1,0,0,0
1515157813392,0,1,1,0,0,0
1515157813492,0,1,1,0,0,0
1515157813592,0,1,1,0,0,0
1515157813692,0,1,1,0,0,0
1515157813792,0,1,1,0,0,0
1515157813893,0,1,1,0,0,0
1515157813993,0,1,1,0,0,0
1515157814093,0,1,1,0,0,0
1515157814193,0,1,1,0,0,0
1515157814293,0,1,1,0,0,0
1515157814393,0,1,1,0,0,0
1515157814493,0,1,1,0,0,0
1515157814594,0,1,1,0,0,0
1515157814694,0,1,1,0,0,0
1515157814794,0,1,1,0,0,0
1515157814894,0,1,1,0,0,0
1515157814994,0,1,1,0,0,0
1515157815094,0,1,1,0,0,0
1515157815194,0,1,1,0,0,0
1515157815294,0,1,1,0,0,0
1515157815395,0,1,1,0,0,0
1515157815495,0,1,1,0,0,0
1515157815595,0,1,1,0,0,0
1515157815695,0,1,1,0,0,0
1515157815795,0,1,1,0,0,0
1515157815895,0,1,1,0,0,0
1515157815995,0,1,1,0,0,0
1515157816096,0,1,1,0,0,0
1515157816196,0,1,1,0,0,0
1515157816296,0,1,1,0,0,0
1515157816396,0,1,1,0,0,0
1515157816496,0,1,1,0,0,0
1515157816596,0,1,1,0,0,0
1515157816696,0,1,1,0,0,0
1515157816796,0,1,1,0,0,0
1515157816897,0,1,1,0,0,0
1515157816997,0,1,1,0,0,0
1515157817097,0,1,1,0,0,0
1515157817197,0,1,1,0,0,0
1515157817297,0,1,1,0,0,0
1515157817397,0,1,1,0,0,0
1515157817497,0,1,1,0,0,0
1515157817597,0,1,1,0,0,0
1515157817698,0,1,1,0,0,0
1515157817798,0,1,1,0,0,0
1515157817898,0,1,1,0,0,0
1515157817998,0,1,1,0,0,0
1515157818098,0,1,1,0,0,0
1515157818198,0,1,1,0,0,0
1515157818298,0,1,1,0,0,0
1515157818399,0,1,1,0,0,0
1515157818499,0,1,1,0,0,0
1515157818599,0,1,1,0,0,0
1515157818699,0,1,1,0,0,0
1515157818799,0,1,1,0,0,0
1515157818899,0,1,1,0,0,0
1515157818999,0,1,1,0,0,0
1515157819099,0,1,1,0,0,0
1515157819200,0,1,1,0,0,0
1515157819300,0,1,1,0,0,0
1515157819400,0,1,1,0,0,0
1515157819500,0,1,1,0,0,0
1515157819600,0,1,1,0,0,0
1515157819700,0,1,1,0,0,0
1515157819800,0,1,1,0,0,0
1515157819900,0,1,1,0,0,0
1515157820001,0,1,1,0,0,0
1515157820101,0,1,1,0,0,0
1515157820202,0,1,1,0,0,0
1515157820303,0,1,1,0,0,0
1515157820404,0,1,1,0,0,0
1515157820504,0,1,1,0,0,0
1515157820604,0,1,1,0,0,0
1515157820705,0,1,1,0,0,0
1515157820805,0,1,1,0,0,0
1515157820905,0,1,1,0,0,0
1515157821005,0,1,1,0,0,0
1515157821105,0,1,1,0,0,0
1515157821205,0,1,1,0,0,0
1515157821305,0,1,1,0,0,0
1515157821405,0,1,1,0,0,0
1515157821506,0,1,1,0,0,0
1515157821606,0,1,1,0,0,0
1515157821706,0,1,1,0,0,0
1515157821806,0,1,1,0,0,0
1515157821906,0,1,1,0,0,0
1515157822006,0,1,1,0,0,0
1515157822106,0,1,1,0,0,0
1515157822207,0,1,1,0,0,0
1515157822307,0,1,1,0,0,0
1515157822407,0,1,1,0,0,0
1515157822507,0,1,1,0,0,0
1515157822607,0,1,1,0,0,0
1515157822707,0,1,1,0,0,0
1515157822807,0,1,1,0,0,0
1515157822907,0,1,1,0,0,0
1515157823008,0,1,1,0,0,0
1515157823108,0,1,1,0,0,0
1515157823208,0,1,1,0,0,0
1515157823308,0,1,1,0,0,0
1515157823408,0,1,1,0,0,0
1515157823508,0,1,1,0,0,0
1515157823608,0,1,1,0,0,0
1515157823709,0,1,1,0,0,0
1515157823809,0,1,1,0,0,0
1515157823909,0,1,1,0,0,0
1515157824009,0,1,1,0,0,0
1515157824109,0,1,1,0,0,0
1515157824209,0,1,1,0,0,0
1515157824309,0,1,1,0,0,0
1515157824409,0,1,1,0,0,0
1515157824510,0,1,1,0,0,0
1515157824610,0,1,1,0,0,0
1515157824710,0,1,1,0,0,0
1515157824810,0,1,1,0,0,0
1515157824910,0,1,1,0,0,0
1515157825010,0,1,1,0,0,0
1515157825110,0,1,1,0,0,0
1515157825210,0,1,1,0,0,0
1515157825311,0,1,1,0,0,0
1515157825411,0,1,1,0,0,0
1515157825511,0,1,1,0,0,0
1515157825611,0,1,1,0,0,0
1515157825711,0,1,1,0,0,0
1515157825811,0,1,1,0,0,0
1515157825911,0,1,1,0,0,0
1515157826012,0,1,1,0,0,0
1515157826112,0,1,1,0,0,0
1515157826212,0,1,1,0,0,0
1515157826312,0,1,1,0,0,0
1515157826412,0,1,1,0,0,0
1515157826512,0,1,1,0,0,0
1515157826612,0,1,1,0,0,0
1515157826712,0,1,1,0,0,0
1515157826813,0,1,1,0,0,0
1515157826913,0,1,1,0,0,0
1515157827013,0,1,1,0,0,0
1515157827113,0,1,1,0,0,0
1515157827213,0,1,1,0,0,0
1515157827313,0,1,1,0,0,0
1515157827413,0,1,1,0,0,0
1515157827513,0,1,1,0,0,0
1515157827614,0,1,1,0,0,0
1515157827714,0,1,1,0,0,0
1515157827814,0,1,1,0,0,0
1515157827914,0,1,1,0,0,0
1515157828014,0,1,1,0,0,0
1515157828114,0,1,1,0,0,0
1515157828214,0,1,1,0,0,0
1515157828315,0,1,1,0,0,0
1515157828415,0,1,1,0,0,0
1515157828515,0,1,1,0,0,0
1515157828615,0,1,1,0,0,0
1515157828715,0,1,1,0,0,0
1515157828815,0,1,1,0,0,0
1515157828915,0,1,1,0,0,0
1515157829015,0,1,1,0,0,0
1515157829116,0,1,1,0,0,0
1515157829216,0,1,1,0,0,0
1515157829316,0,1,1,0,0,0
1515157829416,0,1,1,0,0,0
1515157829516,0,1,1,0,0,0
1515157829616,0,1,1,0,0,0
1515157829716,0,1,1,0,0,0
1515157829816,0,1,1,0,0,0
1515157829917,0,1,1,0,0,0
1515157830017,0,1,1,0,0,0
1515157830117,0,1,1,0,0,0
1515157830217,0,1,1,0,0,0
1515157830317,0,1,1,0,0,0
1515157830417,0,1,1,0,0,0
1515157830517,0,1,1,0,0,0
1515157830617,0,1,1,0,0,0
1515157830718,0,1,1,0,0,0
1515157830818,0,1,1,0,0,0
1515157830918,0,1,1,0,0,0
1515157831018,0,1,1,0,0,0
1515157831118,0,1,1,0,0,0
1515157831218,0,1,1,0,0,0
1515157831318,0,1,1,0,0,0
1515157831419,0,1,1,0,0,0
1515157831519,0,1,1,0,0,0
