Timestamp,Auger.O_xOn,Aspirator.O_xOn,WeightSensor.I_uiValue,FunnelBlocked.I_xSignal
1515157977687,0,0,18675,0
1515157977787,0,0,18676,0
1515157977887,0,0,18676,0
1515157977987,0,0,18678,0
1515157978088,0,0,18678,0
1515157978188,0,0,18676,0
1515157978288,0,0,18678,0
1515157978388,0,0,18678,0
1515157978488,0,0,18678,0
1515157978588,0,0,18678,0
1515157978688,0,0,18679,0
1515157978788,0,0,18676,0
1515157978889,0,0,18679,0
1515157978989,0,0,18678,0
1515157979089,0,0,18678,0
1515157979189,0,0,18676,0
1515157979289,0,0,18676,0
1515157979389,0,0,18676,0
1515157979489,0,0,18678,0
1515157979589,0,0,18676,0
1515157979690,0,0,18679,0
1515157979790,0,0,18678,0
1515157979890,0,0,18676,0
1515157979990,0,0,18676,0
1515157980090,0,0,18678,0
1515157980190,0,0,18676,0
1515157980290,0,0,18678,0
1515157980391,0,0,18676,0
1515157980491,0,0,18678,0
1515157980591,0,0,18678,0
1515157980691,0,0,18678,0
1515157980791,0,0,18678,0
1515157980891,0,0,18676,0
1515157980991,0,0,18678,0
1515157981091,0,0,18678,0
1515157981192,0,0,18680,0
1515157981292,0,0,18679,0
1515157981392,0,0,18678,0
1515157981492,0,0,18678,0
1515157981592,0,0,18676,0
1515157981692,0,0,18676,0
1515157981792,0,0,18678,0
1515157981892,0,0,18679,0
1515157981993,0,0,18678,0
1515157982093,0,0,18678,0
1515157982193,0,0,18678,0
1515157982293,0,0,18678,0
1515157982393,0,0,18678,0
1515157982493,0,0,18678,0
1515157982593,0,0,18678,0
1515157982694,0,0,18678,0
1515157982794,0,0,18678,0
1515157982894,0,0,18678,0
1515157982994,0,0,18678,0
1515157983094,0,0,18679,0
1515157983194,0,0,18679,0
1515157983294,0,0,18678,0
1515157983394,0,0,18679,0
1515157983494,0,0,18678,0
1515157983595,0,0,18676,0
1515157983696,0,0,18678,0
1515157983797,0,0,18679,0
1515157983897,0,0,18676,0
1515157983997,0,0,18678,0
1515157984097,0,0,18676,0
1515157984197,0,0,18676,0
1515157984298,0,0,18676,0
1515157984398,0,0,18676,0
1515157984498,0,0,18678,0
1515157984600,0,0,18678,0
1515157984700,0,0,18678,0
1515157984800,0,0,18678,0
1515157984900,0,0,18679,0
1515157985001,0,0,18678,0
1515157985101,0,0,18679,0
1515157985201,0,0,18679,0
1515157985301,0,0,18676,0
1515157985401,0,0,18678,0
1515157985501,0,0,18676,0
1515157985601,0,0,18676,0
1515157985701,0,0,18678,0
1515157985802,0,0,18678,0
1515157985902,0,0,18676,0
1515157986002,0,0,18679,0
1515157986102,0,0,18678,0
1515157986202,0,0,18676,0
1515157986302,0,0,18676,0
1515157986402,0,0,18678,0
1515157986503,0,0,18676,0
1515157986603,0,0,18678,0
1515157986703,0,0,18678,0
1515157986803,0,0,18676,0
1515157986903,0,0,18678,0
1515157987003,0,0,18679,0
1515157987103,0,0,18676,0
1515157987203,0,0,18678,0
1515157987304,0,0,18676,0
1515157987404,0,0,18678,0
1515157987504,0,0,18678,0
1515157987604,0,0,18678,0
1515157987704,0,0,18676,0
1515157987804,0,0,18676,0
1515157987904,0,0,18678,0
1515157988004,0,0,18676,0
1515157988105,0,0,18678,0
1515157988205,0,0,18679,0
1515157988305,0,0,18679,0
1515157988405,0,0,18676,0
1515157988505,0,0,18676,0
1515157988605,0,0,18678,0
1515157988705,0,0,18678,0
1515157988805,0,0,18678,0
1515157988906,0,0,18676,0
1515157989006,0,0,18678,0
1515157989106,0,0,18678,0
1515157989206,0,0,18678,0
1515157989306,0,0,18678,0
1515157989406,0,0,18679,0
1515157989506,0,0,18676,0
1515157989607,0,0,18678,0
1515157989707,0,0,18676,0
1515157989807,0,0,18676,0
1515157989907,0,0,18678,0
1515157990007,0,0,18676,0
1515157990107,0,0,18678,0
1515157990207,0,0,18676,0
1515157990307,0,0,18676,0
1515157990408,0,0,18678,0
1515157990508,0,0,18676,0
1515157990608,0,0,18678,0
1515157990708,0,0,18678,0
1515157990808,0,0,18678,0
1515157990908,0,0,18678,0
1515157991008,0,0,18676,0
1515157991109,0,0,18678,0
1515157991209,0,0,18678,0
1515157991309,0,0,18676,0
1515157991409,0,0,18678,0
1515157991509,0,0,18678,0
1515157991609,0,0,18678,0
1515157991709,0,0,18679,0
1515157991809,0,0,18676,0
1515157991910,0,0,18680,0
1515157992010,0,0,18680,0
1515157992110,0,0,18678,0
1515157992210,0,0,18676,0
1515157992310,0,0,18678,0
1515157992410,0,0,18678,0
1515157992510,0,0,18678,0
1515157992610,0,0,18678,0
1515157992711,0,0,18678,0
1515157992811,0,0,18678,0
1515157992911,0,0,18678,0
1515157993011,0,0,18676,0
1515157993111,0,0,18678,0
1515157993211,0,0,18678,0
1515157993311,0,0,18678,0
1515157993412,0,0,18678,0
1515157993512,0,0,18678,0
1515157993612,0,0,18678,0
1515157993712,0,0,18678,0
1515157993812,0,0,18678,0
1515157993912,0,0,18675,0
1515157994012,0,0,18678,0
1515157994112,0,0,18678,0
1515157994213,0,0,18676,0
1515157994313,0,0,18676,0
1515157994413,0,0,18676,0
1515157994513,0,0,18676,0
1515157994613,0,0,18676,0
1515157994713,0,0,18678,0
1515157994813,0,0,18676,0
1515157994914,0,0,18679,0
1515157995014,0,0,18678,0
1515157995114,0,0,18679,0
1515157995214,0,0,18678,0
1515157995314,0,0,18678,0
1515157995414,0,0,18676,0
1515157995514,0,0,18678,0
1515157995615,0,0,18678,0
1515157995715,0,0,18679,0
1515157995815,0,0,18678,0
1515157995915,0,0,18678,0
1515157996015,0,0,18679,0
1515157996115,0,0,18678,0
1515157996215,0,0,18678,0
1515157996315,0,0,18675,0
1515157996416,0,0,18678,0
1515157996516,0,0,18676,0
1515157996616,0,0,18679,0
1515157996716,0,0,18679,0
1515157996816,0,0,18679,0
1515157996916,0,0,18678,0
