Timestamp,O_BottleClampClose,O_CapScrewDown,O_CapScrewerGrabberOpenClose,O_CloseCap
1529500894944,1,0,0,0
1529500895044,1,0,0,0
1529500895144,1,0,0,0
1529500895244,1,0,0,0
1529500895344,1,0,0,0
1529500895445,1,0,0,0
1529500895545,1,0,0,0
1529500895645,1,0,0,0
1529500895745,0,0,0,0
1529500895845,0,0,0,0
1529500895946,0,0,0,0
1529500896046,0,0,0,0
1529500896146,0,0,0,0
1529500896246,0,0,0,0
1529500896346,0,0,0,0
1529500896447,0,0,0,0
1529500896547,0,0,0,0
1529500896647,0,0,0,0
1529500896747,0,0,0,0
1529500896847,0,0,0,0
1529500896947,0,0,0,0
1529500897048,0,0,0,0
1529500897148,0,0,0,0
1529500897248,0,0,0,0
1529500897348,0,0,0,0
1529500897449,0,0,0,0
1529500897549,0,0,0,0
1529500897649,0,0,0,0
1529500897749,0,0,0,0
1529500897849,0,0,0,0
1529500897949,0,0,0,0
1529500898050,0,0,0,0
1529500898150,0,0,0,0
1529500898250,0,0,0,0
1529500898350,0,0,0,0
1529500898450,0,0,0,0
1529500898551,0,0,0,0
1529500898651,0,0,0,0
1529500898751,0,0,0,0
1529500898851,0,0,0,0
1529500898951,0,0,0,0
1529500899051,0,0,0,0
1529500899152,0,0,0,0
1529500899252,0,0,0,0
1529500899352,0,0,0,0
1529500899452,0,0,0,0
1529500899552,1,0,0,0
1529500899653,1,0,0,0
1529500899753,1,0,0,0
1529500899853,1,0,0,0
1529500899953,1,0,0,0
1529500900053,1,0,0,0
1529500900153,1,0,0,0
1529500900254,1,0,0,0
1529500900354,1,0,0,0
1529500900454,1,0,0,0
1529500900554,1,0,0,0
1529500900654,1,0,0,0
1529500900755,1,1,0,0
1529500900855,1,1,0,0
1529500900955,1,1,0,0
1529500901055,1,1,0,0
1529500901155,1,1,0,0
1529500901256,1,1,0,0
1529500901356,1,1,0,0
1529500901456,1,1,0,0
1529500901556,1,1,0,0
1529500901656,1,1,0,0
1529500901757,1,1,0,0
1529500901857,1,1,0,0
1529500901957,1,1,1,0
1529500902057,1,1,1,1
1529500902157,1,1,1,1
1529500902258,1,1,1,1
1529500902358,1,1,1,1
1529500902458,1,1,1,1
1529500902558,1,1,1,1
1529500902658,1,1,1,1
1529500902759,1,1,1,1
1529500902859,1,1,1,1
1529500902959,1,1,1,1
1529500903059,1,1,1,1
1529500903159,1,1,1,1
1529500903259,1,1,1,1
1529500903360,1,1,1,1
1529500903460,1,1,1,1
1529500903560,1,1,1,1
1529500903660,1,1,1,1
1529500903760,1,1,1,1
1529500903861,1,1,1,1
1529500903961,1,1,1,1
1529500904061,1,1,1,1
1529500904161,1,1,1,1
1529500904261,1,1,1,1
1529500904362,1,1,1,1
1529500904462,1,1,1,1
1529500904562,1,1,1,1
1529500904662,1,1,1,1
1529500904762,1,1,1,1
1529500904863,1,1,1,1
1529500904963,1,1,1,1
1529500905063,1,1,1,1
1529500905163,1,1,1,1
1529500905263,1,1,1,1
1529500905363,1,1,1,1
1529500905464,1,1,1,1
1529500905564,1,1,1,1
1529500905664,1,1,1,1
1529500905764,1,1,1,1
1529500905864,1,1,1,1
1529500905965,1,1,1,1
1529500906065,1,1,1,1
1529500906167,1,1,0,1
1529500906267,1,1,0,1
1529500906367,1,1,0,1
1529500906468,1,1,0,1
1529500906568,1,1,0,1
1529500906668,1,1,0,1
1529500906768,1,1,0,1
1529500906868,1,1,0,1
1529500906969,1,1,0,1
1529500907069,1,1,0,1
1529500907169,1,1,0,1
1529500907269,1,0,0,1
1529500907369,1,0,0,1
1529500907470,1,0,0,1
1529500907570,1,0,0,1
1529500907670,1,0,0,1
1529500907770,1,0,0,1
1529500907870,1,0,0,1
1529500907971,1,0,0,1
1529500908071,1,0,0,1
1529500908171,1,0,0,1
1529500908271,1,0,0,1
1529500908371,1,0,0,1
1529500908471,1,0,0,1
1529500908572,1,0,0,1
1529500908672,1,0,0,1
1529500908772,1,0,0,1
1529500908872,1,0,0,1
1529500908972,1,0,0,1
1529500909073,1,0,0,1
1529500909173,1,0,0,1
